,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
0,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),HYD,VJY,23:50,05:35,5,706,4.7,A/C,yes,no,yes
1,IntrCity SmartBus ,AC Sleeper (2+1),HYD,VJY,23:15,06:20,7,817,4.7,A/C,no,no,yes
2,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),HYD,VJY,23:30,06:05,6,642,4.7,A/C,yes,no,yes
3,AdFRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,11:00,17:40,6,489,4.5,A/C,yes,no,no
4,NueGo ,Electric A/C Seater (2+2),HYD,VJY,05:00,11:05,6,499,4.6,A/C,yes,no,no
5,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,22:55,05:35,6,475,4.6,A/C,yes,no,no
6,Svkdt     travels ,A/C Sleeper (2+1),HYD,VJY,23:35,05:50,6,790,4.6,A/C,no,no,yes
7,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,05:40,11:45,6,450,4.7,A/C,yes,no,no
8,NueGo ,Electric A/C Seater (2+2),HYD,VJY,09:25,16:25,7,499,4.5,A/C,yes,no,no
9,NueGo ,Electric A/C Semi Sleeper (2+2),HYD,VJY,06:00,12:20,6,559,4.6,A/C,no,yes,no
10,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,04:15,10:30,6,475,4.6,A/C,yes,no,no
11,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,23:35,06:10,6,450,4.5,A/C,yes,no,no
12,NueGo ,Electric A/C Seater (2+2),HYD,VJY,22:30,05:35,7,549,4.4,A/C,yes,no,no
13,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),HYD,VJY,22:45,05:45,7,534,4.5,A/C,yes,no,yes
14,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,22:00,05:20,7,609,4.5,A/C,yes,no,no
15,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,12:40,19:25,6,450,4.7,A/C,yes,no,no
16,NueGo ,Electric A/C Seater (2+2),HYD,VJY,13:30,20:10,6,499,4.4,A/C,yes,no,no
17,FRESHBUS ,Electric A/C Seater (2+2),HYD,VJY,12:25,19:05,6,450,4.6,A/C,yes,no,no
