,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
265,IntrCity SmartBus ,Volvo Multi Axle Sleeper B11R (2+1),HYD,BLR,23:15,09:20,10,1545,4.1,A/C,no,no,yes
266,Kallada Travels (Suresh Kallada) ,A/C Sleeper (2+1),HYD,BLR,19:20,04:30,09,1550,4.3,A/C,no,no,yes
267,Swamy Ayyappa Travels ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),HYD,BLR,16:20,02:15,09,1700,4.2,A/C,no,no,yes
268,YAS TOURS AND TRAVELS ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,13:45,23:35,09,1200,4.1,A/C,no,no,yes
269,SL Travels ,NON A/C Sleeper (2+1),HYD,BLR,20:10,06:45,10,1800,4.0,NON A/C,no,no,yes
270,Alhind Tours and Travels Pvt Ltd ,Volvo Multi-Axle A/C Sleeper (2+1) ,HYD,BLR,14:40,23:45,09,1500,4.1,A/C,no,no,yes
271,Go Tour Travels and Holidays ,A/C Sleeper (2+1),HYD,BLR,23:15,09:15,10,999,4.1,A/C,no,no,yes
272,V Kaveri Travels ,Volvo Multi-Axle A/C Sleeper (2+1) ,HYD,BLR,22:00,08:20,10,1200,4.0,A/C,no,no,yes
273,GEE PEE TRAVELS ,NON A/C Sleeper (2+1),HYD,BLR,23:30,09:40,10,920,4.0,NON A/C,no,no,yes
274,Mayuri Travels ,A/C Sleeper (2+1),HYD,BLR,23:10,08:45,09,999,4.3,A/C,no,no,yes
275,Alhind Tours and Travels Pvt Ltd ,Volvo Multi-Axle A/C Sleeper (2+1) ,HYD,BLR,13:25,23:20,09,1500,4.0,A/C,no,no,yes
276,YAS TOURS AND TRAVELS ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,16:30,02:10,09,1200,4.0,A/C,no,no,yes
277,National  travels ,VE A/C Sleeper (2+1),HYD,BLR,23:45,09:00,09,1550,3.9,A/C,no,no,yes
278,Mahi Trans Solutions ,A/C Sleeper (2+1),HYD,BLR,21:15,06:50,09,1499,4.0,A/C,no,no,yes
279,AVM Tours And Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,21:25,08:45,11,650,3.9,NON A/C,yes,no,yes
280,Yolo Bus ,Bharat Benz A/C Seater /Sleeper (2+1),HYD,BLR,23:11,09:51,10,699,3.9,A/C,yes,no,yes
281,IntrCity SmartBus ,AC Sleeper (2+1),HYD,BLR,20:20,07:05,10,1009,3.9,A/C,no,no,yes
282,Sri Vinayaka Travels ,A/C Seater / Sleeper (2+1),HYD,BLR,21:45,08:20,10,699,4.1,A/C,yes,no,yes
283,YAS TOURS AND TRAVELS ,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),HYD,BLR,15:30,00:50,09,900,3.9,A/C,no,yes,no
284,Orange Tours and Travels Platinum ,Volvo Multi-Axle Sleeper A/C (2+1),HYD,BLR,15:50,02:00,10,1300,4.1,A/C,no,no,yes
285,DLT BUS ,A/C Sleeper (2+1),HYD,BLR,23:15,07:30,08,1199,3.8,A/C,no,no,yes
286,National  travels ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,22:05,08:05,10,1080,3.7,A/C,no,no,yes
287,Yolo Bus ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,23:30,09:09,09,899,4.5,A/C,no,no,yes
288,IntrCity SmartBus ,AC Sleeper (2+1),HYD,BLR,21:05,09:55,12,1394,3.9,A/C,no,no,yes
289,RAVINA TRAVELS ,A/C Sleeper (2+1),HYD,BLR,19:55,05:50,09,999,3.6,A/C,no,no,yes
290,Delta Transports Pvt Ltd ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),HYD,BLR,17:00,03:00,10,1350,4.0,A/C,no,no,yes
291,Orange Tours and Travels Premium ,Volvo Multi-Axle A/C Semi Sleeper (2+2),HYD,BLR,20:20,07:00,10,900,3.6,A/C,no,yes,no
292,Orange Tours And Travels ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),HYD,BLR,18:55,06:00,11,1300,4.1,A/C,no,no,yes
293,Swamy Ayyappa Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),HYD,BLR,19:50,04:25,08,1700,3.8,A/C,no,no,yes
294,SR Tours and Travels ,A/C Sleeper (2+1),HYD,BLR,19:30,05:00,09,1998,3.7,A/C,no,no,yes
295,Kallada Travels (Suresh Kallada) ,A/C Sleeper (2+1),HYD,BLR,16:00,01:50,09,1400,3.7,A/C,no,no,yes
296,National  travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,20:48,07:30,10,1000,3.5,A/C,no,no,yes
297,Bharathi  Travels ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,21:00,07:00,10,1100,3.4,A/C,no,no,yes
298,Sri Krishna Travels ,Volvo Multi-Axle A/C Sleeper (2+1) ,HYD,BLR,22:00,08:15,10,1200,3.5,A/C,no,no,yes
