,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
479,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,23:05,05:40,6,3000,3.8,A/C,no,no,yes
480,Thirumalaivasan Transports ,Bharat Benz A/C Sleeper (2+1),BLR,CHN,17:59,00:35,6,800,3.8,A/C,no,no,yes
481,VJS Travels ,Bharat Benz A/C Sleeper (2+1),BLR,CHN,12:00,18:30,6,700,4.1,A/C,no,no,yes
482,NueGo ,Electric A/C Seater (2+2),BLR,CHN,21:00,04:50,7,630,4.1,A/C,yes,no,no
483,NueGo ,Electric A/C Seater (2+2),BLR,CHN,11:00,18:25,7,450,4.2,A/C,yes,no,no
484,Sharma Transports ,A/C Sleeper (2+1),BLR,CHN,23:00,06:10,7,640,3.7,A/C,no,no,yes
485,Sri Sugam Bus Tours and Travels ,A/C Sleeper (2+1),BLR,CHN,03:30,09:30,6,669,3.8,A/C,no,no,yes
486,NueGo ,Electric A/C Seater (2+2),BLR,CHN,15:00,22:25,7,620,3.8,A/C,yes,no,no
487,Orange Tours And Travels ,A/C Sleeper (2+1),BLR,CHN,23:35,05:40,6,800,4.2,A/C,no,no,yes
488,Bharathi  Travels ,A/C Sleeper (2+1),BLR,CHN,09:00,16:00,7,700,2.8,A/C,no,no,yes
489,NATIONAL TRAVELS NTA ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),BLR,CHN,16:30,23:20,6,650,4.0,A/C,no,no,yes
490,Bharathi  Travels ,A/C Sleeper (2+1),BLR,CHN,01:15,07:30,6,650,2.6,A/C,no,no,yes
491,NueGo ,Electric A/C Semi Sleeper (2+2),BLR,CHN,20:30,03:55,7,475,4.5,A/C,no,yes,no
492,Shama Sardar Travels HPM ,A/C Sleeper (2+1),BLR,CHN,23:40,06:15,6,699,2.5,A/C,no,no,yes
493,National  travels ,NON A/C Sleeper (2+1),BLR,CHN,23:40,06:20,6,475,3.3,NON A/C,no,no,yes
494,KBS Travels ,A/C Sleeper (2+1),BLR,CHN,05:40,12:20,6,724,4.8,A/C,no,no,yes
495,Sea Bird Tourist ,A/C Sleeper (2+1),BLR,CHN,08:30,15:05,6,700,2.6,A/C,no,no,yes
496,Bharathi  Travels ,A/C Sleeper (2+1),BLR,CHN,01:25,06:45,5,680,2.4,A/C,no,no,yes
497,National  travels ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),BLR,CHN,16:20,23:15,6,650,3.8,A/C,no,no,yes
498,Vetri Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),BLR,CHN,23:30,05:15,5,655,3.3,A/C,no,yes,no
499,SRS Travels ,Volvo Multi-Axle A/C Sleeper (2+1),BLR,CHN,23:25,06:00,6,650,2.8,A/C,no,no,yes
500,NueGo ,Electric A/C Seater (2+2),BLR,CHN,23:15,07:05,7,580,2.0,A/C,yes,no,no
501,KPN Travels ,NON A/C Sleeper (2+1),BLR,CHN,23:00,06:00,7,900,2.2,NON A/C,no,no,yes
502,Bharathi  Travels ,A/C Sleeper (2+1),BLR,CHN,00:45,07:00,6,1490,1.5,A/C,no,no,yes
503,VKV Travels ,A/C Sleeper (2+1),BLR,CHN,09:40,17:25,7,940,4.1,A/C,no,no,yes
504,NueGo ,Electric A/C Seater/Sleeper (2+1),BLR,CHN,07:00,13:55,6,475,3.9,A/C,yes,no,yes
505,Bharathi  Travels ,A/C Sleeper (2+1),BLR,CHN,00:15,07:00,6,690,2.9,A/C,no,no,yes
506,Bharathi  Travels ,A/C Sleeper (2+1),BLR,CHN,00:15,06:10,5,650,2.8,A/C,no,no,yes
507,Sea Bird Tourist ,A/C Sleeper (2+1),BLR,CHN,23:40,06:15,6,600,2.7,A/C,no,no,yes
508,NueGo ,Electric A/C Seater (2+2),BLR,CHN,09:00,16:50,7,450,4.2,A/C,yes,no,no
509,National  travels ,NON AC Seater / Sleeper 2+1,BLR,CHN,23:40,06:20,6,399,3.2,A/C,yes,no,yes
510,National  travels ,A/C Sleeper (2+1),BLR,CHN,14:10,21:20,7,745,3.4,A/C,no,no,yes
511,National  travels ,A/C Sleeper (2+1),BLR,CHN,22:30,04:55,6,650,3.9,A/C,no,no,yes
512,VJS Travels ,Bharat Benz A/C Sleeper (2+1),BLR,CHN,04:30,10:20,5,700,2.9,A/C,no,no,yes
513,RDS Travels ,Scania A/C Semi Sleeper (2+2),BLR,CHN,05:30,11:30,6,799,3.4,A/C,no,yes,no
