,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
0,KSM Roadways ,A/C Volvo B11R Multi-Axle Sleeper (2+1),HYD,BLR,22:00,07:46,9,1899,4.8,A/C,no,no,yes
1,VSR Tours and Travels ,A/C Sleeper (2+1),HYD,BLR,20:40,07:15,10,899,4.7,A/C,no,no,yes
2,Jabbar  Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,22:30,08:10,9,1200,4.7,A/C,no,no,yes
3,AdNovember Travels ,A/C Seater / Sleeper (2+1),HYD,BLR,23:20,09:15,9,1070,4.3,A/C,yes,no,yes
4,Jabbar  Travels ,VE A/C Sleeper (2+1),HYD,BLR,21:40,07:35,9,1200,4.7,A/C,no,no,yes
5,Shyamoli Paribahan Pvt Ltd ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),HYD,BLR,22:55,09:15,10,1400,4.7,A/C,no,no,yes
6,Ramana Tours And Travels ,A/C Sleeper (2+1),HYD,BLR,21:30,08:20,10,1150,4.6,A/C,no,no,yes
7,Jabbar  Travels ,NON AC Seater / Sleeper 2+1,HYD,BLR,19:20,05:50,10,615,4.6,A/C,yes,no,yes
8,November Travels ,Bharat Benz A/C Sleeper (2+1),HYD,BLR,20:35,07:15,10,1060,4.7,A/C,no,no,yes
9,Mythri Tours And Travels ,A/C Sleeper (2+1),HYD,BLR,20:45,07:15,10,1299,4.7,A/C,no,no,yes
10,KSM Roadways ,A/C Volvo B11R Multi-Axle Sleeper (2+1),HYD,BLR,23:05,08:15,9,1899,4.6,A/C,no,no,yes
11,BSR Tours And Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,20:40,07:10,10,1480,4.6,A/C,no,no,yes
12,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),HYD,BLR,21:00,08:45,11,1080,4.6,A/C,yes,no,yes
13,Yolo Bus ,A/C Sleeper (2+1),HYD,BLR,19:20,07:38,12,899,4.6,A/C,no,no,yes
14,IntrCity SmartBus ,AC Sleeper (2+1),HYD,BLR,20:35,08:25,11,1231,4.6,A/C,no,no,yes
